resume_text,job_description,keyword_score,length,has_skills_section,action_verbs,label
Experience: led efficient tool using SQL; optimized scalable application using Node.js; integrated team pipeline using TensorFlow; tested robust tool using JavaScript Additional: scalable team data project efficient project innovative application analysis innovative data data team collaborative data collaborative data system,"Software Engineer role requiring expertise in Java, C++, SQL, TensorFlow and experience in building application project collaborative efficient system application innovative efficient systems.",0.24672682739803234,40,0,4,0
"Skills: Kubernetes, AWS, Docker, Photoshop, C++, TensorFlow, Python Experience: integrated innovative tool using Photoshop; built application pipeline using TensorFlow; developed scalable system using JavaScript; designed scalable pipeline using JavaScript Additional: collaborative team application innovative analysis efficient system innovative efficient innovative scalable collaborative team analysis team","Software Engineer role requiring expertise in React, Ruby, Docker and experience in building team robust application team robust scalable project system collaborative scalable systems.",0.22713619549606723,45,1,4,0
"Skills: Excel, Ruby, Kubernetes Experience: tested robust tool using Java; designed innovative application using Kubernetes Additional: project system strategy scalable team team data efficient data system efficient scalable scalable application scalable","Software Engineer role requiring expertise in Kubernetes, JavaScript, SQL and experience in building system efficient robust system efficient efficient project system systems.",0.2045464404171686,31,1,2,0
"Skills: AWS, SQL, Excel, Ruby, Marketing, Python, Node.js Experience: developed collaborative pipeline using C++; integrated application pipeline using Ruby; managed efficient application using Excel; implemented efficient system using Docker; led application tool using Java Additional: robust data strategy robust scalable scalable system application analysis efficient robust application robust scalable analysis Extra: project efficient scalable system collaborative application","Software Engineer role requiring expertise in Ruby, TensorFlow, Node.js and experience in building project team team scalable scalable systems.",0.1481946091953338,57,1,5,0
Experience: managed application application using Marketing; designed efficient pipeline using Java; implemented robust application using Ruby; optimized robust tool using Ruby; managed application application using Ruby Additional: data data strategy robust analysis efficient system innovative strategy project system scalable efficient collaborative team efficient Extra: innovative robust efficient team scalable collaborative efficient robust project project efficient collaborative collaborative robust,"Software Engineer role requiring expertise in Node.js, Ruby, AWS, Docker, C++ and experience in building robust innovative innovative robust team robust application systems.",0.29372746068884587,58,0,4,0
Experience: optimized project system using Java Additional: strategy scalable scalable system application innovative analysis system scalable efficient team strategy analysis data analysis system,"Software Engineer role requiring expertise in C++, Python, AWS, TensorFlow, Kubernetes and experience in building project project project application efficient collaborative systems.",0.12826763986370307,23,0,1,0
"Skills: React, Excel, Photoshop Experience: optimized project pipeline using C++; optimized collaborative pipeline using Photoshop; designed system system using JavaScript; designed innovative application using Docker; tested application tool using TensorFlow Additional: scalable robust team innovative system system scalable efficient scalable innovative robust system project scalable strategy team Extra: scalable efficient project robust system innovative","Software Engineer role requiring expertise in Docker, AWS, C++ and experience in building robust scalable innovative application project application robust collaborative innovative robust robust innovative systems.",0.4090287698468512,54,1,3,0
Experience: optimized project pipeline using Excel Additional: application strategy robust analysis data innovative analysis team efficient team efficient application strategy collaborative strategy collaborative collaborative Extra: application efficient collaborative robust project,"Software Engineer role requiring expertise in TensorFlow, Python, Ruby and experience in building scalable efficient robust collaborative system project scalable application efficient project systems.",0.33043511056100305,30,0,1,0
"Skills: AWS, Ruby, Photoshop, Java, Marketing, TensorFlow Experience: led system tool using React; implemented robust system using AWS; built efficient pipeline using Kubernetes Additional: application scalable application team strategy analysis system project project collaborative application data innovative","Software Engineer role requiring expertise in JavaScript, AWS, Kubernetes, React, SQL and experience in building efficient collaborative robust collaborative scalable efficient innovative robust collaborative scalable application systems.",0.3040198567831804,37,1,3,1
Experience: led team application using Photoshop Additional: project analysis strategy team strategy data analysis analysis collaborative data application project system innovative project Extra: team scalable system system robust innovative collaborative innovative efficient system robust innovative collaborative,"Software Engineer role requiring expertise in C++, Node.js, Python and experience in building innovative team collaborative efficient innovative robust systems.",0.318455015211526,36,0,1,0
